panel,timestamp,light_proxy_pct,Voc_V,Isc_A,Vload_V,Iload_A,Pload_W,Isc_over_Iload
Hexagonal Direita,2026-08-25 09:44:00,43.79,11.84698,1.54376,7.3468800000000005,1.8177999999999999,13.355158464,0.8492463417317637
Hexagonal Esquerda,2026-08-25 09:44:00,43.79,10.454976,0.027120000000000002,1.70035,0.487,0.82807045,0.055687885010266946
Plana Direita,2026-08-25 09:44:00,43.79,11.728036,4.9242799999999995,9.26139,2.3474,21.740186886,2.0977592229700943
Plana Esquerda,2026-08-25 09:44:00,43.79,9.793954000000001,0.19016,0.68966,0.193,0.13310438000000002,0.9852849740932642
